IBOV - Carteira do Dia 13/04/23
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.318.583.017;2,789;2,789;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.205;0,790;0,790;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.646.296;0,212;2,340;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;998.462.635;0,701;2,340;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;310.103.685;0,106;2,340;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;190.059.275;0,071;2,340;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,250;2,340;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;0,390;1,920;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.483;1,052;1,920;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;316.724.584;0,115;1,920;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;260.340.982;0,139;1,920;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,224;1,920;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.386.652.506;3,447;3,447;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.189.793.199;0,914;1,365;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,324;1,365;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,127;1,365;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,521;0,521;
Cons N Ciclico/Agropecuária;RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,196;0,431;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,235;0,431;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;60.758.326;0,223;2,201;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,219;2,201;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;965.528.807;0,884;2,201;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,594;2,201;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;335.724.569;0,111;2,201;
Consumo Cíclico / Comércio;VIIA3;VIA;ON      NM;1.576.975.642;0,170;2,201;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;202.765.994;0,088;0,088;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;274.142.301;0,231;0,422;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;94.318.339;0,074;0,422;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;305.668.749;0,117;0,422;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;275.967.676;0,048;0,048;
Diversos;COGN3;COGNA ON;ON      NM;1.820.405.422;0,194;2,701;
Diversos;RENT3;LOCALIZA;ON      NM;776.996.207;2,378;2,701;
Diversos;YDUQ3;YDUQS PART;ON      NM;296.015.511;0,129;2,701;
Financ e Outros / Explor Imóveis;ALSO3;ALIANSCSONAE;ON      NM;330.109.863;0,322;0,923;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;213.576.831;0,231;0,923;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.145.328;0,370;0,923;
Financ e Outros / Interms Financs;BPAN4;BANCO PAN;PN      N1;341.549.703;0,099;19,073;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.508.883.586;0,985;19,073;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.156.077.326;3,787;19,073;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;1.420.731.069;3,231;19,073;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,511;19,073;
Financ e Outros / Interms Financs;ITSA4;ITAUSA;PN      N1;5.233.076.295;2,393;19,073;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.489.940;6,553;19,073;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;355.642.848;0,514;19,073;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.682.536;1,265;1,265;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.901.731.302;3,726;4,014;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON      NM;1.095.401.258;0,288;4,014;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;274.863.424;0,090;2,426;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,703;2,426;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,633;2,426;
